rank_hoa2,Gene,Distance_hoa2,boxcox-transformed distance_hoa2,Z_hoa2,FC_hoa2,p-value_hoa2,adjusted p-value_hoa2,rank_hoa3,Distance_hoa3,boxcox-transformed distance_hoa3,Z_hoa3,FC_hoa3,p-value_hoa3,adjusted p-value_hoa3,mean_rank,max_rank,replicated_top50,replicated_fdr_0_05,replicated_nominal_0_05
10,ATP5F1A,1.0159083881394747e-05,-10.276728804445392,1.335058842505596,0.25478346480359787,0.6137268518191283,0.9999999999964178,82,2.6279633370921895e-08,-14.738750494165675,0.57318979585818,4.476064459652866e-07,0.9994661881687104,0.9999999999972699,46.0,82,False,False,False
58,NR4A1,1.0467563817257234e-07,-13.755541735655983,0.7773186659514307,2.7049135004426317e-05,0.9958503182160465,0.9999999999964178,35,1.2221081282153263e-05,-10.12633377911474,1.3176096227785525,0.09680036463243696,0.7557036429422325,0.9999999999972699,46.5,58,False,False,False
5,TEK,1.093011063691947e-05,-10.218493608481788,1.3443953918172902,0.2949247791321859,0.5870817629765064,0.9999999999964178,88,1.9665349905707412e-08,-14.942814984951593,0.540254859078564,2.506461767680293e-07,0.9996005424945412,0.9999999999972699,46.5,88,False,False,False
7,CALCOCO2,1.066165072446387e-05,-10.238299976418356,1.3412199387623904,0.2806151076743818,0.5962983365720838,0.9999999999964178,91,1.7433174214112483e-08,-15.027267544902598,0.5266246595658959,1.9697480011403148e-07,0.9996458841373542,0.9999999999972699,49.0,91,False,False,False
67,CKS2,9.352426281423028e-08,-13.837260544715475,0.7642171097902097,2.1592888100879227e-05,0.9962923915300941,0.9999999999964178,31,1.4509541892837522e-05,-9.989142017787678,1.3397516523329798,0.1364473575648146,0.7118386793278566,0.9999999999972699,49.0,67,False,False,False
6,PHB2,1.0763517764829917e-05,-10.230727508700024,1.3424339935465042,0.2860030145550548,0.592793352079702,0.9999999999964178,93,1.7406983296662857e-08,-15.02832013215966,0.5264547775122722,1.9638339026939015e-07,0.9996464161471079,0.9999999999972699,49.5,93,False,False,False
57,NR4A2,1.061543189643181e-07,-13.745352662918938,0.7789522275540964,2.781874180860688e-05,0.9957916990535527,0.9999999999964178,44,1.0499038771914255e-05,-10.247336227984508,1.298080463205732,0.07144252691602618,0.7892479266066612,0.9999999999972699,50.5,57,False,False,False
76,MSX1,5.908367818692263e-08,-14.168546227310543,0.711103780975446,8.617815556676218e-06,0.9976577241797483,0.9999999999964178,26,1.6228030754028004e-05,-9.899422220326617,1.3542319563088439,0.17068264809229436,0.6795058280380166,0.9999999999972699,51.0,76,False,False,False
65,PIM1,9.833863032509555e-08,-13.800868401670877,0.7700516748238102,2.387319013932431e-05,0.996101535695928,0.9999999999964178,37,1.1915702243467958e-05,-10.146520164370969,1.3143516462454359,0.09202313247448027,0.7616207467590385,0.9999999999972699,51.0,65,False,False,False
32,EMCN,9.56161956036357e-06,-10.324915476605282,1.3273333213093004,0.22569662596632648,0.6347332390729867,0.9999999999964178,72,3.583791071562861e-08,-14.519103764786045,0.6086396240870251,8.324211274055952e-07,0.9992720332414184,0.9999999999972699,52.0,72,False,False,False
82,MAP1LC3B,5.2306509761025194e-08,-14.255922557465608,0.697095183568519,6.75419555724407e-06,0.9979263932972938,0.9999999999964178,22,1.7299864880945156e-05,-9.848066421527031,1.3625205124423334,0.19397383415405592,0.659629606288271,0.9999999999972699,52.0,82,False,False,False
59,SLC25A44,1.0291087239316982e-07,-13.767888403045026,0.7753391883004079,2.6144760419168546e-05,0.9959202786401465,0.9999999999964178,45,1.0499038771869491e-05,-10.247336227987903,1.298080463205184,0.07144252691541697,0.7892479266075386,0.9999999999972699,52.0,59,False,False,False
20,FIS1,9.863368134685896e-06,-10.300221207684123,1.3312924263776982,0.2401666124710626,0.6240858043666264,0.9999999999964178,86,2.3063953005998458e-08,-14.830762326560263,0.5583395694850304,3.447666246336318e-07,0.9995315074975302,0.9999999999972699,53.0,86,False,False,False
26,SOD1,9.70698334997096e-06,-10.312925400398317,1.3292556285309893,0.23261125061723137,0.6295943489719167,0.9999999999964178,80,2.6285570799081472e-08,-14.738591034055158,0.573215531882309,4.478087266670024e-07,0.9994660675631875,0.9999999999972699,53.0,80,False,False,False
31,UQCRB,9.58388441351188e-06,-10.32306746041886,1.32762960423525,0.2267489482931394,0.6339449829277988,0.9999999999964178,75,3.0257988018169216e-08,-14.639107586789772,0.5892716376441934,5.93386718098085e-07,0.9993853768287138,0.9999999999972699,53.0,75,False,False,False
60,CCL2,1.0151172198545288e-07,-13.777825533733777,0.7737460192699429,2.543867792216952e-05,0.9959757450348561,0.9999999999964178,48,9.799408067554804e-06,-10.302157382354045,1.2892326168881654,0.06223825590530617,0.8029926322875128,0.9999999999972699,54.0,60,False,False,False
42,MT-ND4,9.109758837272189e-06,-10.363361049192054,1.3211695404834052,0.20486883931450003,0.6508192322827291,0.9999999999964178,66,4.494219928807182e-08,-14.357960679953942,0.6346472714291852,1.3090805505812303e-06,0.9990871001158587,0.9999999999972699,54.0,66,False,False,False
39,COX4I1,9.34883216597116e-06,-10.342793008745879,1.3244671085724806,0.21576295097463608,0.6422874769923648,0.9999999999964178,71,3.738906655877747e-08,-14.488996408403262,0.6134987932410972,9.060391704379525e-07,0.9992405249995961,0.9999999999972699,55.0,71,False,False,False
