"variant","donor","state","gene","PC1","PC2"
"primary","hoa3","WT","NSUN6",-0.00580917974362285,-0.000381031138867964
"primary","hoa3","WT","OPA1",0.000986236463560705,-0.000360650540678613
"primary","hoa3","WT","OPTN",0.0689756898454403,0.0185602282905761
"primary","hoa3","WT","PARL",0.054405208348947,0.015487037683963
"primary","hoa3","WT","PDGFB",-0.0104910300045473,-0.0121051595824794
"primary","hoa3","WT","PECAM1",0.000727443985703895,-0.00894182383911078
"primary","hoa3","WT","PGF",-0.00478122114557934,-0.00231651408422246
"primary","hoa3","WT","PHB2",0.00961001424644404,0.000596366088675908
"primary","hoa3","WT","PHLDA1",-0.0071891802339005,-0.00108056071608114
"primary","hoa3","WT","PIK3R3",0.0040011837277201,-0.00678931254731426
"primary","hoa3","WT","PIM1",-0.00585086350545768,-0.000152321126236451
"primary","hoa3","WT","PINK1",-3.02339987146168e-13,-1.7617726035432e-13
"primary","hoa3","WT","PLAC9",0.00323863356676699,-0.00291242380590696
"primary","hoa3","WT","PLAUR",-0.00162349577706909,7.4580956026968e-05
"primary","hoa3","WT","PLEKHG2",-0.00881620619707076,-0.0040391004115557
"primary","hoa3","WT","PMAIP1",-0.00545415837746863,-0.000214164003498676
"primary","hoa3","WT","PMPCA",1.41950153970274e-13,8.16247294388969e-14
"primary","hoa3","WT","PMPCB",-0.16895822027809,-0.0389862210851481
"primary","hoa3","WT","PPP1R14A",0.00395582129462273,-0.00669294536063155
"primary","hoa3","WT","PRDX1",0.149498778576643,0.00547015399677937
"primary","hoa3","WT","PRDX2",-0.0707559461026667,0.501227114661779
"primary","hoa3","WT","PRDX3",0.0124526655767767,0.00149938382047044
