perm_id,perm_auc,perm_repeat_auc_mean
75,0.48,0.4986666666666667
76,0.4016666666666666,0.43933333333333335
77,0.44666666666666666,0.45133333333333336
78,0.6166666666666667,0.5639999999999998
79,0.54,0.48200000000000004
80,0.7233333333333334,0.6679999999999999
81,0.7866666666666666,0.7600000000000001
82,0.40833333333333327,0.42733333333333334
83,0.4966666666666667,0.5
84,0.54,0.5006666666666667
85,0.4866666666666667,0.44866666666666666
86,0.31333333333333335,0.38933333333333336
87,0.6066666666666667,0.5586666666666666
88,0.5866666666666667,0.5519999999999999
89,0.39,0.44399999999999995
90,0.4833333333333334,0.46799999999999997
91,0.6366666666666666,0.6300000000000001
92,0.32166666666666666,0.40066666666666667
93,0.43,0.4673333333333334
94,0.5066666666666666,0.506
95,0.6333333333333333,0.586
96,0.4933333333333333,0.4833333333333334
97,0.5366666666666666,0.51
98,0.45666666666666667,0.5006666666666667
99,0.19666666666666666,0.33533333333333337
100,0.30666666666666664,0.42333333333333334
101,0.4633333333333334,0.5026666666666666
102,0.6066666666666667,0.5666666666666667
103,0.7533333333333333,0.6653333333333333
104,0.43666666666666665,0.446
105,0.61,0.5606666666666666
106,0.38999999999999996,0.4086666666666667
107,0.2633333333333333,0.35333333333333333
108,0.5166666666666666,0.5413333333333334
109,0.48000000000000004,0.476
110,0.5266666666666666,0.4893333333333333
111,0.3433333333333333,0.4206666666666667
112,0.49333333333333335,0.43866666666666665
113,0.6433333333333333,0.6
114,0.4333333333333333,0.43
115,0.3583333333333333,0.398
116,0.5866666666666666,0.514
117,0.5366666666666666,0.516
118,0.3633333333333333,0.42866666666666664
119,0.49333333333333335,0.5106666666666666
120,0.42333333333333334,0.4680000000000001
121,0.29666666666666663,0.392
122,0.48333333333333334,0.492
123,0.45666666666666667,0.462
124,0.61,0.542
125,0.54,0.4493333333333333
126,0.4966666666666667,0.4366666666666667
127,0.54,0.5566666666666666
128,0.43333333333333335,0.5013333333333334
129,0.6,0.5693333333333334
130,0.3833333333333333,0.4253333333333333
131,0.52,0.48200000000000004
132,0.35333333333333333,0.4026666666666666
133,0.29666666666666663,0.384
134,0.7533333333333333,0.6813333333333332
135,0.42333333333333334,0.43066666666666664
136,0.33666666666666667,0.4413333333333333
137,0.46666666666666673,0.5093333333333334
138,0.52,0.47000000000000003
139,0.26999999999999996,0.41600000000000004
140,0.305,0.41533333333333333
141,0.2866666666666667,0.41600000000000004
142,0.3566666666666667,0.41000000000000003
143,0.79,0.784
144,0.37,0.47000000000000003
145,0.35333333333333333,0.37666666666666665
146,0.4833333333333334,0.45200000000000007
147,0.5466666666666666,0.504
148,0.45666666666666667,0.42066666666666663
149,0.5133333333333333,0.48266666666666663
150,0.31333333333333335,0.43266666666666664
151,0.64,0.6213333333333333
152,0.4466666666666667,0.4720000000000001
153,0.5333333333333334,0.5346666666666666
154,0.45333333333333337,0.4453333333333333
155,0.42333333333333334,0.49066666666666664
156,0.48000000000000004,0.434
157,0.5033333333333333,0.4913333333333334
158,0.47000000000000003,0.45466666666666666
159,0.6,0.5706666666666667
160,0.33333333333333337,0.37266666666666665
161,0.36333333333333334,0.4073333333333333
162,0.6366666666666667,0.5846666666666666
163,0.26166666666666666,0.41533333333333333
164,0.48,0.46333333333333326
165,0.58,0.5653333333333334
166,0.37,0.46866666666666673
167,0.42666666666666664,0.422
168,0.27,0.3546666666666667
169,0.35,0.384
170,0.4566666666666668,0.4726666666666667
171,0.3533333333333334,0.43133333333333335
172,0.5433333333333333,0.5773333333333334
173,0.33666666666666667,0.40800000000000003
174,0.5800000000000001,0.5106666666666666
175,0.26666666666666666,0.4
176,0.5666666666666667,0.526
177,0.5866666666666667,0.5640000000000001
178,0.38666666666666666,0.414
179,0.72,0.71
180,0.8533333333333333,0.8066666666666666
181,0.46,0.43466666666666665
182,0.5866666666666667,0.536
183,0.39999999999999997,0.44066666666666665
184,0.6099999999999999,0.6013333333333334
185,0.3533333333333333,0.376
186,0.6333333333333334,0.5386666666666666
187,0.5433333333333333,0.528
188,0.31666666666666665,0.356
189,0.3,0.36
190,0.42333333333333334,0.4373333333333333
