"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"TRAP1",178,0.997049196062316,0.999999999970122,170,0.996298221027248,0.999999999988964,174,178
"FKBP8",140,0.986727630112569,0.999999999970122,208,0.998962282088874,0.999999999988964,174,208
"PMPCB",130,0.980082387911165,0.999999999970122,218,0.999628104776407,0.999999999988964,174,218
"CCND1",113,0.966813272596846,0.999999999970122,236,0.999841257114839,0.999999999988964,174.5,236
"MIGA1",229,0.999889578990427,0.999999999970122,123,0.990615123134015,0.999999999988964,176,229
"PARL",207,0.999779488644848,0.999999999970122,147,0.994689626684368,0.999999999988964,177,207
"LRG1",72,0.891146484085246,0.999999999970122,284,0.999977235173226,0.999999999988964,178,284
"CD83",141,0.986892407259905,0.999999999970122,216,0.999536451785923,0.999999999988964,178.5,216
"TXN2",225,0.999866513424974,0.999999999970122,133,0.992689861356091,0.999999999988964,179,225
"EDNRB",262,0.999954661812963,0.999999999970122,97,0.984758855992954,0.999999999988964,179.5,262
"TNFRSF4",167,0.995096640404438,0.999999999970122,195,0.998258799989561,0.999999999988964,181,195
"F2RL3",293,0.999994385301729,0.999999999970122,69,0.960180474745846,0.999999999988964,181,293
"ISG15",221,0.999859997464754,0.999999999970122,144,0.994280198803937,0.999999999988964,182.5,221
"DUSP2",131,0.980210231442801,0.999999999970122,235,0.999835081401044,0.999999999988964,183,235
"PMPCA",129,0.978696207928013,0.999999999970122,237,0.999850081726161,0.999999999988964,183,237
"VDAC2",197,0.999473008145907,0.999999999970122,172,0.996718898887641,0.999999999988964,184.5,197
"BID",211,0.99982315665277,0.999999999970122,161,0.995372814733067,0.999999999988964,186,211
"TIMP4",245,0.999918387771024,0.999999999970122,131,0.992226436156568,0.999999999988964,188,245
"TFAM",202,0.999710314686484,0.999999999970122,176,0.996986758668012,0.999999999988964,189,202
"CXCR4",155,0.992629507852333,0.999999999970122,223,0.999713519326065,0.999999999988964,189,223
"PRDX3",219,0.999857981708701,0.999999999970122,160,0.995284577270668,0.999999999988964,189.5,219
"YME1L1",120,0.973623727519966,0.999999999970122,259,0.99991126625635,0.999999999988964,189.5,259
"BCL2L13",281,0.999980163808033,0.999999999970122,99,0.985286796368852,0.999999999988964,190,281
"GIGYF2",273,0.999965119698373,0.999999999970122,110,0.988312992407092,0.999999999988964,191.5,273
"RND1",101,0.955680485915176,0.999999999970122,286,0.999982184194513,0.999999999988964,193.5,286
"LATS2",168,0.995125420163521,0.999999999970122,220,0.999644148031209,0.999999999988964,194,220
"KIAA0040",184,0.997701468459884,0.999999999970122,207,0.99893469867351,0.999999999988964,195.5,207
"ERO1B",169,0.995766933040441,0.999999999970122,222,0.999669573048419,0.999999999988964,195.5,222
"OPTN",227,0.999875924861727,0.999999999970122,165,0.99563440957276,0.999999999988964,196,227
"NIBAN1",205,0.999769912110638,0.999999999970122,188,0.997869047515768,0.999999999988964,196.5,205
"GPRC5A",185,0.997839070647796,0.999999999970122,213,0.999322732015466,0.999999999988964,199,213
"VDAC3",196,0.999464394169466,0.999999999970122,203,0.998744179647452,0.999999999988964,199.5,203
"APOD",256,0.999946903041724,0.999999999970122,145,0.994288179383067,0.999999999988964,200.5,256
"TEAD1",137,0.985046475811186,0.999999999970122,264,0.999926808014544,0.999999999988964,200.5,264
"GCNT2",165,0.994909046318305,0.999999999970122,240,0.999859565667359,0.999999999988964,202.5,240
"TSC2",181,0.997543296301321,0.999999999970122,225,0.999725832687402,0.999999999988964,203,225
"WDR44",128,0.978389807343105,0.999999999970122,278,0.999964948602207,0.999999999988964,203,278
"BAX",203,0.999718835235466,0.999999999970122,205,0.998899788081867,0.999999999988964,204,205
"INMT",238,0.999904604754272,0.999999999970122,171,0.996582567487768,0.999999999988964,204.5,238
"TLCD2",123,0.975724970268023,0.999999999970122,287,0.999982236217131,0.999999999988964,205,287
"DUSP4",162,0.994296064794774,0.999999999970122,251,0.999898024199016,0.999999999988964,206.5,251
"DDHD1",199,0.999675651182151,0.999999999970122,217,0.999591841492787,0.999999999988964,208,217
"IFIT1",279,0.999979543934452,0.999999999970122,143,0.994170661715284,0.999999999988964,211,279
